row_id,interaction_id,run_interaction_id,span_selector,resolved_span_id,resolved_span_index,expected_project_id,expected_project_name_contains,expected_decision,actual_project_id,actual_project_name,actual_decision,actual_confidence,actual_prompt_version,actual_model_id,actual_reason_codes,actual_reasoning,char_start,char_end,has_expectation,is_correct,error,notes,tags
gt_0004,cll_06E3K1VVKNT435XKDTRBNB8QD0,cll_06E3K1VVKNT435XKDTRBNB8QD0,span_index:0,,,,none,none,,,,,,,,,,,true,false,span_not_found,,
gt_0005,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0006,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:1,,,,permar,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0007,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:0,,,,woodbery,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0008,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:1,,,,woodbery,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0009,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0010,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:1,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0011,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0012,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:1,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0013,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:0,283352cb-786b-4228-8113-d258579756e8,0,,Winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.750,v1.12.0_world_model_facts,claude-3-haiku-20240307,{weak_anchor},"The caller is Ron, a contact who is anchored to the Winship Residence project. The conversation discusses details about procuring and installing doors for the project, which aligns with the active status and ongoing work on the Winship Residence.",0,1158,true,false,,,
gt_0014,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:1,7c5f8854-3e56-4d98-ab33-b9a8dad0d04b,1,,winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.750,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{quote_unverified,weak_anchor}","The transcript mentions Zack Sittler, an HCB owner, which is a strong indicator that the conversation is about the Winship Residence project that Zack is working on. The discussion about materials and joints also aligns with active construction work on the Winship Residence.",1158,1569,true,false,,,
gt_0015,cll_06E3A4QAMNTRZA5CPVV335PZA8,cll_06E3A4QAMNTRZA5CPVV335PZA8,span_index:0,53455789-f684-4f2f-91d5-c5d45f40e2a2,0,,winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.800,v1.12.0_world_model_facts,claude-3-haiku-20240307,{weak_anchor},"The transcript contains multiple references to 'lou' and 'Ginger Gray', which strongly indicates this conversation is about the Winship Residence project that Ginger Gray is working on. The contact's anchored status on this project further supports the attribution.",0,778,true,false,,,
gt_0016,cll_06E3A4QAMNTRZA5CPVV335PZA8,cll_06E3A4QAMNTRZA5CPVV335PZA8,span_index:1,644f194c-e291-4aa2-94f3-fc8d410bb735,1,,winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.850,v1.12.0_world_model_facts,claude-3-haiku-20240307,{weak_anchor},"The transcript contains several strong anchors indicating the conversation is about the Winship Residence project, including explicit mentions of 'lou' (likely referring to Lou Winship), and the contact Ginger Gray who is known to work on that project. The transcript also discusses topics like pouring concrete and laying pavers, which match the active work underway on the Winship project.",778,1518,true,false,,,
