row_id,interaction_id,run_interaction_id,span_selector,resolved_span_id,resolved_span_index,expected_project_id,expected_project_name_contains,expected_decision,actual_project_id,actual_project_name,actual_decision,actual_confidence,actual_prompt_version,actual_model_id,actual_reason_codes,actual_reasoning,char_start,char_end,has_expectation,is_correct,error,notes,tags
cll_06E3HG24Q9YM7BGK44NCQRV2Z8_s0,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:0,20e4f3d8-a56e-4972-b0b6-22613f8ea54e,0,,Woodbery,,,,review,0.500,v1.11.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript contains references to 'thermal' siding and 'japanese' siding, but does not mention any specific project names, addresses, or client names. The contact, Flynt Treadaway, is a 'floater' who works on multiple projects, so his identity is not a strong attribution signal. There is no clear project match based on the transcript alone, and the journal and email context are not sufficient to determine the primary topic of discussion.",0,1454,true,false,,"Flynt: hey i pulled up that japanese siding you asked me about / looked at it online i see what it is / but unless it's really gotta be knotty / Flynt: i can probably get this accoya wood that's just about the same thing / Zack: yeah the homeowner just wants a really natural looking wood she doesn't want painted cement board / Flynt: thermal wood? / Zack: yeah it's more brownish in color / (379 words — japanese siding, accoya wood, thermal wood, homeowner wants natural black look not painted cement board)",subset:woodbery_gt_project
cll_06E3HG24Q9YM7BGK44NCQRV2Z8_s1,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:1,26a8b522-79ff-4cdc-a3ff-4e64d63d156d,1,,Woodbery,,,,none,0.400,v1.11.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript does not contain any direct mentions of project names, addresses, or client names. The contact, Flynt Treadaway, is a floater (works on 7 projects) which provides no strong identity signal. While the conversation mentions 'japanese stuff' and lumber, this is not enough evidence to definitively attribute the call to a specific project. More context is needed to make a confident assignment.",1454,1844,true,false,,"Zack: it might be too niche-y for any big vendor... i might have to find some random small direct to consumer vendor / Flynt: i'll check it out here in the next week or so / it reminds me a lot of solar thermal / Zack: it's giving you the rot resistant bug resistant aspect of it / Flynt: where they dry it in the kiln all the stuff out of the wood where bugs aren't getting into it / Zack: yeah okay thanks blaine / (397 words — continuation of siding sourcing discussion, rot/bug resistance, kiln-dried wood — same project as span 0)",subset:woodbery_gt_project
cll_06E379H5W9WY581M5W62M05TRG_s0,cll_06E379H5W9WY581M5W62M05TRG,cll_06E379H5W9WY581M5W62M05TRG,span_index:0,621d113d-438e-464c-afb9-d5f550911ab5,0,,Woodbery,,7db5e186-7dda-4c2c-b85e-7235b67e06d8,Woodbery Residence,assign,0.800,v1.11.0,claude-3-haiku-20240307,,"The transcript contains several references to 'Woodbery', including 'Shayelyn Woodbery', which strongly suggests the Woodbery Residence project. The conversation discusses sending emails and photos, which matches the recent journal updates for the Woodbery Residence project.",0,1611,true,true,,"Zack: hello shailen / Shayelyn: hey zach i couldn't hear you sorry / Zack: i don't have great service at windships but / Shayelyn: did you see my text with that photo / Zack: let me look / is it you know for the gutter to attach to or something else / Shayelyn: sent emails to greg last night / (274 words — Zack at Winship jobsite calling Shayelyn Woodbery about her project, photo of gutter detail, emails to greg, multi-project span: location=Winship but topic=Woodbery)",subset:woodbery_gt_project
cll_06E379H5W9WY581M5W62M05TRG_s1,cll_06E379H5W9WY581M5W62M05TRG,cll_06E379H5W9WY581M5W62M05TRG,span_index:1,9a5f1cae-0c6d-40be-bcd6-0f93d061f7bb,1,,Woodbery,,7db5e186-7dda-4c2c-b85e-7235b67e06d8,Woodbery Residence,assign,0.800,v1.11.0,claude-3-haiku-20240307,,"The transcript contains direct references to the Woodbery Residence project, including mentions of 'Woodbery' and the client 'Shayelyn Woodbery'. Additionally, the journal context for the Woodbery Residence project aligns with the discussion topics in the transcript, such as recent updates, decisions, and open questions.",1611,2850,true,true,,"Shayelyn: gutter to attach to or something else so we'll just see what he says / Zack: i sent tile footages early this morning / Shayelyn: sent it to daniel he's out of the office / assume he'll send us pricing next week / Shayelyn: watching meg walk down the driveway with her horse / also i got robin's invoice i will look through it and get you a check on monday / (258 words — tile footage pricing from Daniel, robin's invoice + check Monday, personal moment with horse — clearly Woodbery project business)",subset:woodbery_gt_project
cll_06E46MKR29Y9X81BK52JJAM9TG_s0,cll_06E46MKR29Y9X81BK52JJAM9TG,cll_06E46MKR29Y9X81BK52JJAM9TG,span_index:0,7b6e510c-736c-4ace-a6ab-d8396fb5222e,0,,Woodbery,,d8091a15-6a69-4634-8d5b-117abea35aa6,Permar Residence,review,0.800,v1.8.0,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript contains multiple references to 'Sparta' and 'Bethany', which match the Permar Residence project located in Sparta, GA. The contact, Zack Sittler, is a 'floater' who works on many projects, so his identity alone is not a strong attribution signal. However, the specific mentions of Sparta and Bethany provide strong evidence that this conversation is about the Permar Residence project.",0,1137,true,false,,Three by six timber stuff... did she say anything about...,subset:woodbery_gt_project
cll_06E46MKR29Y9X81BK52JJAM9TG_s1,cll_06E46MKR29Y9X81BK52JJAM9TG,cll_06E46MKR29Y9X81BK52JJAM9TG,span_index:1,0b01457b-7315-424f-9382-3ecc93701fca,1,,Woodbery,,cc691114-1599-4562-b42f-77fa3641fe9f,Sittler Residence (Athens),review,0.750,v1.8.0,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript contains multiple references to 'Zack Sittler', which indicates the Sittler Residence (Athens) project based on the staff name match. This is further supported by the prior journal context for that project, which mentions Zack having to address something.",1137,2275,true,false,,If she does not want those timbers to go all the way in,subset:woodbery_gt_project
cll_06E47E38KNSG5909WX2JDDENHC_s0,cll_06E47E38KNSG5909WX2JDDENHC,cll_06E47E38KNSG5909WX2JDDENHC,span_index:0,ddc5ed40-318c-4320-a35d-16d969fe4b6e,0,,Woodbery,,7db5e186-7dda-4c2c-b85e-7235b67e06d8,Woodbery Residence,review,0.800,v1.11.0,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The conversation appears to be about the Woodbery Residence project based on the discussion of a 'port ceiling', 'tails', and 'terrace area' which match open journal claims for that project. While the contact Zack Sittler is a 'floater' with low project affinity, the specific details mentioned in the transcript provide strong evidence to attribute this call to the Woodbery Residence.",0,1566,true,true,,Over here at enterprise... been on the phone,subset:woodbery_gt_project
cll_06E47E38KNSG5909WX2JDDENHC_s1,cll_06E47E38KNSG5909WX2JDDENHC,cll_06E47E38KNSG5909WX2JDDENHC,span_index:1,97fcbd0c-200f-4ff0-bd1e-4281f2479534,1,,Woodbery,,,,review,0.500,v1.11.0,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript does not contain any strong anchors like exact project names, addresses, or client names. The only potentially relevant evidence is the discussion of using tongue-and-groove or other materials, which could relate to several active projects. However, the contact, Zack Sittler, is a floater with affiliation to multiple projects, so his identity is not a reliable signal. Without a clear transcript-based anchor, I cannot confidently assign this call to a specific project.",1566,1975,true,false,,Inside the porches... I kinda feel like that's...,subset:woodbery_gt_project
cll_06E47E38KNSG5909WX2JDDENHC_s2,cll_06E47E38KNSG5909WX2JDDENHC,cll_06E47E38KNSG5909WX2JDDENHC,span_index:2,4f674a88-8012-415c-83af-571277101a70,2,,Woodbery,,,,none,0.350,v1.11.0,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript does not contain any direct mentions of project names, addresses, client names, or other strong anchors. The contact, Zack Sittler, is a floater (12 projects) which provides an anti-signal for attribution. There is also no relevant journal context that would support assigning this conversation to a specific project. Overall, the evidence is too weak to confidently assign this to any single project.",1975,2208,true,false,,She needs to decide... architect dictate it... tongue and groove,subset:woodbery_gt_project
cll_06E47GAKDDSJV92AFZ3VNSQX3C_s0,cll_06E47GAKDDSJV92AFZ3VNSQX3C,cll_06E47GAKDDSJV92AFZ3VNSQX3C,span_index:0,0cf2eda7-5afc-4f53-b445-d1e31f229a68,0,,Woodbery,,7db5e186-7dda-4c2c-b85e-7235b67e06d8,Woodbery Residence,assign,0.900,v1.8.0,claude-3-haiku-20240307,,"The transcript mentions 'Shayelyn Woodbery', who is the homeowner for the Woodbery Residence project. Shayelyn's identity as an anchored contact (fanout=1) provides strong evidence that this conversation is about the Woodbery Residence project. Additionally, the transcript references 'Woodbery', which matches an alias for the Woodbery Residence project.",0,186,true,true,,Can i call you back in like five minutes,subset:woodbery_gt_project
