row_id,interaction_id,run_interaction_id,span_selector,resolved_span_id,resolved_span_index,expected_project_id,expected_project_name_contains,expected_decision,actual_project_id,actual_project_name,actual_decision,actual_confidence,actual_prompt_version,actual_model_id,actual_reason_codes,actual_reasoning,char_start,char_end,has_expectation,is_correct,error,notes,tags
gt_0004,cll_06E3K1VVKNT435XKDTRBNB8QD0,cll_06E3K1VVKNT435XKDTRBNB8QD0,span_index:0,,,,none,none,,,,,,,,,,,true,false,span_not_found,,
gt_0005,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0006,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:1,,,,permar,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0007,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:0,,,,woodbery,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0008,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:1,,,,woodbery,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0009,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0010,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:1,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0011,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:0,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0012,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:1,,,,winship,assign,,,,,,,,,,,true,false,span_not_found,,
gt_0013,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:0,33666ebe-2c34-471a-b209-643378129501,0,,Winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.750,v1.12.0_world_model_facts,claude-3-haiku-20240307,{weak_anchor},"The transcript contains explicit references to 'those doors' and 'the door itself' which, combined with the caller's strong project affinity, indicate the Winship Residence project is the primary topic of discussion.",0,774,true,false,,,
gt_0014,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:1,e374452e-c6af-4bbb-8d19-160e4fbcc4d2,1,,winship,assign,,,review,0.840,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{weak_anchor,bizdev_without_commitment}","The transcript contains several strong anchors that point to the Winship Residence project, including references to 'door styles', 'panels', 'jambs', and a discussion about using 8/4 and 6/4 material. Additionally, the contact, Ron, is identified as working on only the Winship Residence project, which is a strong signal. There are no clear contradictions in the transcript, and the conversation topic aligns with the ongoing work on the Winship Residence. BizDev prospect gate held project assignment (looking at; commitment_terms=none).",774,3497,true,false,,,
gt_0015,cll_06E3A4QAMNTRZA5CPVV335PZA8,cll_06E3A4QAMNTRZA5CPVV335PZA8,span_index:0,d5ee6bf4-1cb1-4565-9008-08f6381679fa,0,,winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.850,v1.12.0_world_model_facts,claude-3-haiku-20240307,{weak_anchor},"The conversation appears to be primarily about the Winship Residence project. There are several strong anchors in the transcript, including explicit mentions of 'lou' and 'Ginger Gray', who is known to work on the Winship Residence project. The discussion around pavers, irrigation, and concrete work also aligns with the active status and ongoing work on the Winship Residence.",0,2792,true,false,,,
