row_id,interaction_id,run_interaction_id,span_selector,resolved_span_id,resolved_span_index,expected_project_id,expected_project_name_contains,expected_decision,actual_project_id,actual_project_name,actual_decision,actual_confidence,actual_prompt_version,actual_model_id,actual_reason_codes,actual_reasoning,char_start,char_end,has_expectation,is_correct,error,notes,tags
gt_0004,cll_06E3K1VVKNT435XKDTRBNB8QD0,cll_06E3K1VVKNT435XKDTRBNB8QD0,span_index:0,b24610ea-96ce-467f-ba71-622a9e0b388c,0,,none,none,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,assign,0.920,v1.12.0_world_model_facts,claude-3-haiku-20240307,,"The transcript does not contain any explicit mentions of project names, addresses, or clients. The caller Tony Araujo is semi-anchored (works on 2 projects), but this is not enough to confidently assign this conversation to a specific project without further corroboration from the transcript. The transcript indicates some ongoing coordination between Tony and Zack Sittler (an HCB owner), but does not provide enough detail to determine the specific project they are discussing. deterministic_homeowner_override_gate: forced assign to homeowner project 310a3768-d7c0-4e72-88d0-aa67bf4d1b05 (prev_decision=review, prev_project=null).",0,1054,true,false,,,
gt_0005,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:0,5ef16d93-5678-46d5-a3da-e239f4c7c985,0,,winship,assign,,,review,0.500,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript does not contain any explicit mentions of project names, addresses, or client names. The contact, Randy Booth, is a 'floater' who works on many projects, so his identity is not a strong attribution signal. There are some references to project-related topics like a door issue and septic tank placement, but not enough information to definitively assign this call to a specific project. More context would be needed to make a confident decision.",0,1262,true,false,,,
gt_0006,cll_06E3HS7S75RQK080ZN7K9Q84B0,cll_06E3HS7S75RQK080ZN7K9Q84B0,span_index:1,f5b33339-aae5-471e-8629-468a735a7491,1,,permar,assign,d8091a15-6a69-4634-8d5b-117abea35aa6,Permar Residence,review,0.750,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript contains several strong anchors for the Permar Residence project, including mentions of 'brandon hightower' and 'hightower', which match project aliases. Additionally, the discussion around the placement of flags and utilities relative to the house distance aligns with open issues in the project journal.",1262,4195,true,false,,,
gt_0007,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:0,a9128b85-bd3b-49ed-8fe9-d4961b9833a7,0,,woodbery,assign,,,review,0.550,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript mentions Japanese siding that the client wants, which seems to be a specific material request. However, the contact Flynt Treadaway has a high fanout (5+ projects) and is treated like HCB staff, so his identity is not a strong attribution signal. Without a clear project name, address, or client name match in the transcript, I cannot confidently assign this to a specific project. I recommend a review to determine the appropriate project.",0,1234,true,false,,,
gt_0008,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,cll_06E3HG24Q9YM7BGK44NCQRV2Z8,span_index:1,d54dd375-cef0-4da5-a6fe-53ea6b6993b5,1,,woodbery,assign,,,review,0.250,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript does not contain any clear references to a specific project. The conversation seems to be about construction materials and methods, but does not mention any project names, addresses, clients, or other strong anchors. The contact, Flynt Treadaway, is a 'floater' with no clear project assignments, which reduces the signal from his identity. I don't have enough evidence to confidently assign this conversation to a particular project.",1234,1672,true,false,,,
gt_0009,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:0,013e05b0-e318-497b-9a39-873926c6f629,0,,winship,assign,,,review,0.650,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript discusses a door issue that needs to be addressed, but does not contain any strong anchors like an exact project name, address, or client name. The contact, Flynt Treadaway, is a floater who works on multiple projects, so his identity is not a strong signal. Some potentially relevant context is the discussion of caulking, bondo, and paint grade materials, which could match the Woodbery Residence project, but this is not conclusive. Without a clear anchor from the transcript, I recommend a review to determine the most likely project.",0,1359,true,false,,,
gt_0010,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,cll_06E3HEWTR5RDD39AJK7PZ8G4X8,span_index:1,84590028-63f0-43e8-91c5-2e786b1fe8c8,1,,winship,assign,,,review,0.500,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript contains some references to a door and frame, but does not explicitly mention any project names, addresses, or clients. The contact, Flynt Treadaway, is a 'floater' who works on 5+ projects, so his identity does not provide a strong signal. Without a clear anchor from the transcript, I cannot confidently assign this conversation to a specific project.",1359,2718,true,false,,,
gt_0011,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:0,b7db42e8-e1ab-4b30-847d-f5b29776df1e,0,,winship,assign,,,review,0.600,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{quote_unverified,weak_anchor,ambiguous_contact}","The transcript discusses an issue with a door frame that was damaged during removal of boards used for moving purposes. While the caller, Jimmy Chastain, has worked on several HCB projects, there is no clear anchor in the transcript to a specific project. The journal and world model context do not provide enough corroborating evidence to confidently assign this conversation to a particular project.",0,1741,true,false,,,
gt_0012,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,cll_06E3HCJ3KSY1K9B2RGECN5GNQM,span_index:1,862af6ec-545b-493f-b2cc-d24f9e76fe9d,1,,winship,assign,a3244d97-7301-4e63-a2c6-2ca01d7041a4,Woodbery Barns,review,0.650,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{weak_anchor,ambiguous_contact}","The transcript mentions issues with a door and hinges, as well as Carter Lumber, a material supplier. This suggests the Woodbery Barns project, which Jimmy Chastain is associated with as a 'drifter' contact. However, the conversation does not contain any explicit project name, address, or client references to definitively assign it to that project. More corroborating evidence would be needed to confidently attribute this call.",1741,3483,true,false,,,
gt_0013,cll_06E3A9094NX6N25F8TQXEPH3YG,cll_06E3A9094NX6N25F8TQXEPH3YG,span_index:0,b00f6183-e68b-4991-8a19-41d9f9813e15,0,,Winship,assign,310a3768-d7c0-4e72-88d0-aa67bf4d1b05,Winship Residence,review,0.850,v1.12.0_world_model_facts,claude-3-haiku-20240307,"{quote_unverified,weak_anchor}","The contact, Ron, is an anchored contact who only works on the Winship Residence project. Zack Sittler mentions discussing 'that material' and 'the door itself' in the context of Ron's work, which strongly suggests this conversation is about the Winship Residence project.",0,773,true,false,,,
